id,Month,Day,Hour,Irr,Text,WS,PV_module_temp,,,u0,u1,,,
2433,4,12,9,404,12.1,0,32.3,,,,,,,
2434,4,12,10,565,13.9,0.00033333,42.14849343,,,,,,,
2435,4,12,11,675,15.5,0.02833333,49.09769049,,,,,,,
2436,4,12,12,716,16.8,0.023,52.46873904,,,,,,,
2437,4,12,13,671,17.6,0.149,50.368792,,,,,,,
2438,4,12,14,598,18,0.05133333,47.65642194,,,,,,,
2439,4,12,15,511,18.1,0.09716667,43.25886352,,,,,,,
2440,4,12,16,411,17.9,0.03633333,38.33122648,,,,,,,
2441,4,12,17,270,17.3,0.04066667,30.71272784,,,,,,,
2442,4,12,18,137,16.3,0.00433333,23.14525396,,,,,,,
2443,4,12,19,33,15.1,0,16.75,,,,,,,
2444,4,12,20,0,14,0,14,,,,,,,
2445,4,12,21,0,12.9,0,12.9,,,,,,,
2446,4,12,22,0,11.8,0,11.8,,,,,,,
2447,4,12,23,0,10.7,0,10.7,,,,,,,
2448,4,12,24,0,9.7,0,9.7,,,,,,,
2449,4,13,1,0,9,0,9,,,,,,,
2450,4,13,2,0,8.3,0,8.3,,,,,,,
2451,4,13,3,0,7.9,0,7.9,,,,,,,
2452,4,13,4,0,7.6,0.001,7.6,,,,,,,
2453,4,13,5,0,7.3,0,7.3,,,,,,,
2454,4,13,6,0,7.2,0.00033333,7.2,,,,,,,
2455,4,13,7,74,8.1,0.004,11.79763351,,,,,,,
2456,4,13,8,242,9.8,0,21.9,,,,,,,
2457,4,13,9,424,11.8,0.00033333,32.9988694,,,,,,,
2458,4,13,10,620,14,0,45,,,,,,,
2459,4,13,11,790,16.1,0.00566667,55.56421909,,,,,,,
2460,4,13,12,549,16.8,0.0945,43.84113799,,,,,,,
2461,4,13,13,581,17.3,0.06916667,46.03203216,,,,,,,
2462,4,13,14,569,17.7,0.04166667,45.96158939,,,,,,,
2463,4,13,15,492,17.8,0.08666667,42.06354549,,,,,,,
2464,4,13,16,369,17.5,0.048,35.80938393,,,,,,,
2465,4,13,17,275,16.9,0.02933333,30.58576814,,,,,,,
2466,4,13,18,140,15.9,0.0025,22.89720112,,,,,,,
2467,4,13,19,43,14.8,0,16.95,,,,,,,
2468,4,13,20,0,13.6,0.00033333,13.6,,,,,,,
2469,4,13,21,0,12.8,0,12.8,,,,,,,
